package,capability,status,evidence_tier,reference,gate,last_verified,recommended_use
LibeRation,Direct SSH scheduler workflow,implemented,verified,Two-hop Windows-to-WSL Slurm and Grid Engine submission disconnect recovery and result fixtures,LibeRation direct-scheduler unit and ProxyJump smoke gates,2026-08-06,Research and teaching
LibeRties,Typed job and result wire contracts,implemented,verified,Round-trip malformed-input and fuzz fixtures,LibeRties wire and contract tests,2026-07-23,Research and teaching
LibeRties,Durable local queue cancellation and restart recovery,implemented,verified,Subprocess cancellation checksum and recovery fixtures,LibeRties local-worker tests,2026-07-23,Research and teaching
LibeRties,Remote authentication quotas and audit trail,implemented,verified,API security and persistence fixtures,LibeRties server and security tests,2026-07-23,Research deployments with external TLS and OS isolation
LibeRties,Disposable API load and passive security scanning,implemented,verified,Authenticated k6 contract plus pinned OWASP ZAP baseline harness,Deployment-validation workflow,2026-07-24,Pre-production verification only
LibeRties,Daemon-free direct SSH scheduler transport,implemented,verified,Checksummed typed request response and real two-hop Slurm and Grid Engine recovery fixtures,LibeRties direct-scheduler contract and WSL ProxyJump smoke gates,2026-08-06,Research and teaching on personal scheduler accounts
LibeRties,Hostile-code isolation,external-control,experimental,Deployment-specific container or OS account sandbox,Strict server preflight plus independent penetration testing,2026-07-23,Not supplied by the built-in R subprocess
LibeRality,Matched population-FO Fisher information,implemented,validated,PopED 0.7.0 and PFIM 7.0.3,Hosted external-validation gate,2026-07-23,Research and teaching
LibeRality,D-optimal candidate ranking,implemented,validated,PopED 0.7.0 and PFIM 7.0.3,Hosted external-validation gate,2026-07-23,Research and teaching
LibeRality,Advanced criteria constraints and trial simulation,implemented,verified,Analytic and deterministic simulation fixtures,LibeRality criteria and simulation tests,2026-07-23,Research and teaching
LibeRality,Endpoint simulation curves tables and NCA summaries,implemented,verified,Seeded complete-trial simulations and payload contract tests,LibeRality simulation tests,2026-07-31,Research and teaching
LibeRality,Fixed-shape Weibull time-to-event working information and simulation,implemented,verified,Analytic cumulative-hazard interval increments and seeded simulation moments,LibeRality Weibull endpoint tests,2026-08-02,Research and teaching
LibeRator,Longitudinal patient evidence and parameter updating,implemented,validated,Deterministic longitudinal virtual patient plus matched mapbayr and posologyr MAP ETA comparisons,LibeRator analytic and external-comparator gates,2026-07-24,Research and teaching only
LibeRator,Endpoint-aware regimen optimisation and prediction,implemented,verified,Analytic virtual-patient and constraint fixtures,LibeRator analytic validation gate,2026-07-23,Research and teaching only
LibeRator,NCA-based individual and regimen exposure summaries,implemented,verified,Shared native NCA cycle metrics and full LibeRator regression suite,LibeRator assessment tests,2026-07-31,Research and teaching only
LibeRator,Autonomous clinical recommendation,not-qualified,experimental,None,Separate clinical validation and quality system required,2026-07-23,Do not use
LibeRary,Synthetic catalogue search and LibeRation import,implemented,verified,Packaged synthetic catalogue fixtures,LibeRary catalogue tests,2026-07-23,Research and teaching
LibeRary,Deliberative text/vision literature extraction,experimental,experimental,AED reference-corpus development benchmark,LibeRary reference release gate,2026-07-23,Human-reviewed research workflow
LibeRary,Machine-qualified gold-standard evidence,not-qualified,experimental,None,Independent human curation required,2026-07-23,Do not claim
